Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:imd04i	IMD Income Domain	Socio-economic|Geographical	"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The purpose of this Domain is to capture the proportions of the population experiencing income deprivation in an area.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Barriers to Housing and Services Domain. The purpose of the Barriers to Housing and Services domain is to measure barriers to housing and key local services. 
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivations at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The purpose of this Domain is to capture the proportions of the population experiencing income deprivation in an area.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present."	socio-demographic and economic characteristics			
GE:imd04ia	IMD Income affecting Adults Domain	Socio-economic|Geographical	"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Older People Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's population aged 60 and over who are claiming Income Support or Job Seeker's Allowance.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The purpose of this Domain is to capture the proportions of the population experiencing income deprivation in an area.
 
 
 
 The current HES version of the Index is 2010, although the current IMD version of the index is 2015 which can be found on the IMD website:
 
 https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivations at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Older People Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Areas population aged 60 and over who are claiming Income Support or Job Seeker's Allowance.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present."	socio-demographic and economic characteristics			
GE:imd04ic	IMD Income affecting Children Domain	Socio-economic|Geographical	"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Children Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's children under 16 who were living in families receiving specific financial support, such as Income Support or Job Seeker's Allowance.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivations at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Children Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's children under 16 who were living in families receiving specific financial support, such as Income Support or Job Seeker's Allowance.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present."	socio-demographic and economic characteristics			
GE:imd04le	IMD Living Environment Domain	Socio-economic|Geographical	"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Living Environment domain. The Living Environment domain focuses on deprivation with respect to the characteristics of the living environment.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) is a measure of multiple deprivations at Super Output Area level. The IMD has seven domains, one of which is the Living Environment domain. The Living Environment domain focuses on deprivation with respect to the characteristics of the living environment.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present."	family and household structure			
GE:imd04rk	IMD Overall Rank	Socio-economic|Geographical	"The IMD overall ranking is made by combining the seven IMD Domain scores using the following weights:
 
 - Income (22.5%)
 
 - Employment (22.5%)
 
 - Health Deprivation and Disability (13.5%)
 
 - Education, Skills and Training (13.5%)
 
 - Barriers to Housing and Services (9.3%)
 
 - Crime (9.3%)
 
 - Living Environment (9.3%)
 
 
 
 The SOA (Super Output Area) with a rank of 1 is the most deprived, and 32482 the least deprived, on this overall measure.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.|The Index of Multiple Deprivation (IMD) overall ranking is made by combining the seven IMD Domain scores using the following weights: - Income (22.5%) ; - Employment (22.5%) ; - Health Deprivation and Disability (13.5%) ; - Education, Skills and Training (13.5%) ; - Barriers to Housing and Services (9.3%) ; - Crime (9.3%) ; - Living Environment (9.3%) ; The Super Output Area (SOA) with a rank of 1 is the most deprived, and 32482 the least deprived, on this overall measure.
 
 
 
 This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present."	socio-demographic and economic characteristics		indicators for diseases	
GE:ic_sub_modality_desc	Sub Modality		Narrower categories represented by an ID, grouping procedures or methods used for examination that may include procedures assisted by the method, e.g. biopsy or injection, which are encompassed within each modality category. These categories are derived from submitted NICIP or SNOMED-CT codes.	survey administration			
GE:ic_sub_modality_id	Sub Modality ID	Sub Modality	Narrower categories represented by an ID, grouping procedures or methods used for examination that may include procedures assisted by the method, e.g. biopsy or injection, which are encompassed within each modality category. These categories are derived from submitted NICIP or SNOMED-CT codes.	survey administration			
GE:ic_sub_region_desc	Sub Region		Based on Sub Region ID categories derived from submitted NICIP or SNOMED-CT codes. They provide a more complete descriptive categorisation of imaging such as:	survey administration			
GE:ic_sub_region_id	Sub Region ID	Sub Region	Separation of lower and upper limb structures; breast or upper limb thoracic structures etc.	survey administration			
GE:ic_sub_sys_desc	Sub System		Descriptive categorisation of imaging by body subsystem, based on Sub-system ID categories derived from submitted NICIP or SNOMED-CT codes.	survey administration			
GE:ic_sub_sys_id	Sub System ID	Sub System	Sub-classification within System categorisation of submitted NICIP or SNOMED-CT codes to provide a more complete categorisation by imaging by body subsystem.	survey administration			
GE:ic_sub_syscomp_desc	Sub-System Component		Descriptive categorisation of imaging by body sub-system components, based on Sub-System Component categories derived from submitted NICIP or SNOMED-CT codes.	survey administration			
GE:ic_sub_syscomp_id	Sub-System Component ID	Sub-System Component	Further sub-classification within System and Sub-system categorisation of submitted NICIP or SNOMED-CT codes by body structure or system groups	survey administration			
GE:ic_system_desc	System		Descriptive categorisation of imaging by Systems categories derived from submitted NICIP or SNOMED-CT codes. The following category descriptions have been defined:	survey administration			
GE:ic_system_id	System ID	System	Broad categories represented by an ID categorising submitted NICIP or SNOMED-CT by body structure or system groups as identified by Clinical Terminologists at HSCIC	survey administration			
GE:system_data	System Data			survey administration			
GE:firstatt	First attendance	System Data	Gives an indication of whether a patient is making a first attendance or follow-up attendance, and whether the consultation was face-to-face or via telephone/telemedicine consultation.	survey administration			
GE:aekey_flag	AEKEY flag	System Data	Flags whether there is an AEKEY present on the record. This can be used to sum the number of A&E attendances.	survey administration			
GE:attendkey_flag	Attendence Key Flag	System Data	Flags whether there is an ATTENDKEY present on the record. This can be used to sum the number of outpatient appointments.	survey administration			
GE:appdate	Net applicable date	System Data	This is a system field that represents the date of the update event that resulted in the need to exchange the record with the Secondary Uses Service (SUS) database. This field is present on records submitted via the Net Change Protocol method only, and is used by SUS to process records in the correct sequence.	survey administration			
GE:did_nhsnum_stat	NHS Number Status	System Data	Code taken from submitted NHS Number Status field. Field is subject to hard validation during submission process. If supplied value does not match one of the permitted nationally defined codes the data upload will fail. This will include cases where the correct code has been used but the leading zero has been dropped. They must be preserved for the data to be validated. Permitted codes:01, 02, 03, 04, 05, 06, 07, 08	survey administration			
GE:ic_nhsnum_stat_desc	NHS Number Status Description	System Data	Derived field based on NHS Number Status: - 01 Number present and verified - 02 Number present but not traced - 03 Trace required - 04 Trace attempted - No match or multiple match found - 05 Trace needs to be resolved - (NHS Number or patient - 06 Trace in progress - 07 Number not present, trace not required - 08 Trace postponed (baby under six weeks old)	survey administration			
GE:nhsnoind	NHS number status indicator	System Data	Codes in this field indicate whether the patients' NHS Number is present, and if it is verified. If the NHS Number is absent, the indicator gives the reason why.|Codes in this field indicate whether the patients‚Äö√Ñô NHS number is present, and if it is verified. If the NHS number is absent, the indicator gives the reason why.	survey administration			
GE:sushrgverinfo	SUS generated HRG version number	System Data	The version number for the SUS generated HRG code (sushrg).	survey administration			
GE:susspellid	SUS generated spell identifier	System Data	SUS generated spell identifier	survey administration			
GE:aekey	Record identifier	System Data	"This field is present on A&E and APC linked records only. Linkage between these
 two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets.
 AEKEY represents the record identifier of the A&E attendance that the APC episode has been linked to.
 Full details of the methodology used to link A&E and APC records can be found on the following page of our website: http://content.digital.nhs.uk/article/1824/How-do- we-collect-and-process-HES-data|This is a record identifier that is created by the HES system. The digits store a decimal number. This is commonly eight or nine digits but can be up to 14."	survey administration			
GE:attendkey	Record identifier	System Data	This is a record identifier that is created by the HES system. The digits store a decimal number. This is commonly eight or nine digits but can be up to 14.	survey administration			
GE:cdsextdate	CDS extract date	System Data	"This is a system field that represents the date of the update event that resulted in
 the need to exchange the data with the Secondary Uses Service (SUS) database. This field is present on records submitted via the Bulk Update Protocol method only, and is used to apply records correctly to SUS."	survey administration		system data for updates	
GE:cdsversion	CDS version number	System Data	The version of the commissioning data set (CDS) being used.	survey administration		system data SUS	
GE:match_rank	match_rank	System Data	Internal housekeeping|Refers to the match rank in the data linkage process from NHSD	survey administration			
GE:pcgorig	Origin of primary care group	System Data	This derived field indicates the basis on which the primary care group (PCG) code was assigned.	survey administration			
GE:pctcode_his	PCT of responsibility dependent on the data year	System Data	"The PCTCODE depending on the datayear. Where the data year is equal to or later than 2006, this field contains the code from the field PCTCODE06, otherwise it contains the code from the field PCTCODE02.
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography."	survey administration			
GE:pctorig	Origin of primary care trust of responsibility	System Data	This derived field indicates the basis on which the primary care trust (PCT) of responsibility code was assigned.	survey administration			
GE:pctorig_his	Origin of primary care trust of responsibility dependent on the data year	System Data	The origin of the primary care trust of responsibility dependent on the datayear. Where the data year is equal to or later than 2006, this field contains the code from the field PCTORIG06, otherwise it contains the code from the field PCTORIG02.	survey administration			
GE:pctorig02	Origin of PCT of responsibility (2002)	System Data	This derived field indicates the basis on which the code in the field PCTCODE02 was assigned.	survey administration			
GE:pctorig06	Origin of PCT of responsibility (2006)	System Data	This derived field indicates the basis on which the code in the field PCTCODE06 was assigned.|This derived field indicates the basis on which the code in the field PCTCODE02 was assigned.	survey administration			
GE:perend	Reporting period end date	System Data	This is a system field used for the purposes of submitting data to SUS. It defines the end date for the date range of the data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.	survey administration			
GE:sender	CDS sender identity	System Data	The code of the organisation that submitted the record to the Secondary Uses Service (SUS). This is a system field used during the SUS submission process.	survey administration			
GE:ethraw	Ethnic character (audit version)	System Data	Ethnic character is supplied by the trusts as a two-character field. Ethraw contains the left-hand character. The right hand character is optional for use locally. A copy of the raw data found in the right hand character is held in ethrawl.	survey administration			
GE:encrypted_hesid	NHS Patient identifier	System Data	NHSD participant ID. Rreplaces HESID listed in the data dictionary and be equaivelent to the Pseudonymised HESID (PSEUDO_HESID)	unique identifiers			
GE:cdsverprotid	CDS protocol identifier	System Data	This is a system field used to apply records correctly to SUS. It represents the mechanism that was used to submit the record to SUS (Bulk or Net).	unique identifiers		system data SUS	
GE:participant_id	Patient identifier	System Data	Participant's Identifier (supplied by Genomics England)	unique identifiers			
GE:submissiondataid	Record Identifier	System Data	DID Record ID|Record ID	unique identifiers			
GE:epikey	Record identifier	System Data|Administrative	"This is a record identifier that is created by the HES system. The digits store a decimal number. This is commonly eight or nine digits but can be up to 14.|This field is present on A&E and APC linked records only. Linkage between these two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets.
 EPIKEY represents the record identifier of the APC episode that the A&E attendance has been linked to.
 Full details of the methodology used to link A&E and APC records can be found on the following page of our website: http://content.digital.nhs.uk/article/1824/How-do- we-collect-and-process-HES-data"	unique identifiers			
GE:pctcode	PCT of responsibility dependent on the data year	System Data|Geographical	"The PCTCODE depending on the datayear. Where the data year is equal to or later than 2006, this field contains the code from the field PCTCODE06, otherwise it contains the code from the field PCTCODE02.
 
 
 
 In 2013 following a reorganisation of health areas, Primary Care Trusts were abolished. This field has continued to be derived after this date as a 'frozen' geography."	survey administration			
GE:subdate	Submission date	System Data|Geographical	Date on which the data used to generate the HES record was received by the Secondary Uses Service (or the NHS-Wide Clearing Service (NWCS) prior to December 2006).|Date on which the data used to generate the HES record was received by the Secondary Uses Service.	survey administration			
GE:suslddate	SUS loaded staging date	System Data|Healthcare resource groups (HRG) data	The date that the record was loaded into the SUS staging system.	survey administration			
GE:pctnhs	Primary care trust	System Data|Organisation Data	The patient's health authority or primary care trust (PCT) of residence provided by the NHS.	survey administration			
GE:susrecid	SUS record ID	System Data	NHSD participant ID. Rreplaces HESID listed in the data dictionary and be equaivelent to the Pseudonymised HESID (PSEUDO_HESID)|SUS generated record identifier.|SUS (Secondary Uses Service)-generated record identifier.	unique identifiers			
GE:varicose_vein_q1	Varicose Vein - Q1						
GE:vv_q1_clothing	Q1-VV4	Varicose Vein - Q1	Does the appearance of your varicose veins influence your choice of clothing including tights?	signs and symptoms			
GE:vv_q1_concern	Q1-VV3	Varicose Vein - Q1	Does the appearance of your varicose veins cause you concern?	signs and symptoms			
GE:vv_q1_left_back_count	Q1-VV7	Varicose Vein - Q1	Left leg (back) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q1_left_discolour	Q1-VV11	Varicose Vein - Q1	Do you have purple discolouration caused by tiny blood vessles in the skin, in association with your varicose veins?	signs and symptoms			
GE:vv_q1_left_front_count	Q1-VV7	Varicose Vein - Q1	Left leg (front) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q1_left_itch	Q1-VV10	Varicose Vein - Q1	In the last two weeks, have you had any itching in association with your varicose veins?	signs and symptoms			
GE:vv_q1_left_pain_days	Q1-VV8	Varicose Vein - Q1	In the last two weeks, for how many days did your varicose veins cause you pain or ache?	signs and symptoms			
GE:vv_q1_left_rash	Q1-VV12	Varicose Vein - Q1	Do you have any rash or eczema in the area of your ankle?	signs and symptoms			
GE:vv_q1_left_support	Q1-VV9	Varicose Vein - Q1	In the last two weeks have you worn support tights or stockings?	signs and symptoms			
GE:vv_q1_left_ulcer	Q1-VV13	Varicose Vein - Q1	Do you have a skin ulcer associated with your varicose veins?	signs and symptoms			
GE:vv_q1_leisure	Q1-VV6	Varicose Vein - Q1	During the last two weeks, have your varicose veins interfered with your leisure activities (including sport, hobbies and social life)?	signs and symptoms			
GE:vv_q1_painkiller_days	Q1-VV1	Varicose Vein - Q1	During the last two weeks, on how many days did you take painkilling tablets for your varicose veins?	signs and symptoms			
GE:vv_q1_right_back_count	Q1-VV7	Varicose Vein - Q1	Right leg (back) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q1_right_discolour	Q1-VV11	Varicose Vein - Q1	Do you have purple discolouration caused by tiny blood vessles in the skin, in association with your varicose veins?	signs and symptoms			
GE:vv_q1_right_front_count	Q1-VV7	Varicose Vein - Q1	Right leg (front) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q1_right_itch	Q1-VV10	Varicose Vein - Q1	In the last two weeks, have you had any itching in association with your varicose veins?	signs and symptoms			
GE:vv_q1_right_pain_days	Q1-VV9	Varicose Vein - Q1	In the last two weeks, for how many days did your varicose veins cause you pain or ache?	signs and symptoms			
GE:vv_q1_right_rash	Q1-VV12	Varicose Vein - Q1	Do you have any rash or eczema in the area of your ankle?	signs and symptoms			
GE:vv_q1_right_support	Q1-VV	Varicose Vein - Q1	In the last two weeks have you worn support tights or stockings?	signs and symptoms			
GE:vv_q1_right_ulcer	Q1-VV13	Varicose Vein - Q1	Do you have a skin ulcer associated with your varicose veins?	signs and symptoms			
GE:vv_q1_swelling	Q1-VV2	Varicose Vein - Q1	During the last two weeks, how much ankle swelling have you had?	signs and symptoms			
GE:vv_q1_work	Q1-VV5	Varicose Vein - Q1	During the last two weeks, have your varicose veins interfered with your work/housework or other daily activities?	signs and symptoms			
GE:vv_q1_max_score	vv_q1_max_score	Varicose Vein - Q1		survey administration			
GE:varicose_vein_q2	Varicose Vein - Q2						
GE:vv_q2_clothing	Q2-VV4	Varicose Vein - Q2	Does the appearance of your varicose veins influence your choice of clothing including tights?	signs and symptoms			
GE:vv_q2_concern	Q2-VV3	Varicose Vein - Q2	Does the appearance of your varicose veins cause you concern?	signs and symptoms			
GE:vv_q2_left_back_count	Q2-VV7	Varicose Vein - Q2	Left leg (back) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q2_left_discolour	Q2-VV11	Varicose Vein - Q2	Do you have purple discolouration caused by tiny blood vessles in the skin, in association with your varicose veins?	signs and symptoms			
GE:vv_q2_left_front_count	Q2-VV7	Varicose Vein - Q2	Left leg (front) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q2_left_itch	Q2-VV10	Varicose Vein - Q2	n the last two weeks, have you had any itching in association with your varicose veins?	signs and symptoms			
GE:vv_q2_left_pain_days	Q2-VV8	Varicose Vein - Q2	In the last two weeks, for how many days did your varicose veins cause you pain or ache?	signs and symptoms			
GE:vv_q2_left_rash	Q2-VV12	Varicose Vein - Q2	Do you have any rash or eczema in the area of your ankle?	signs and symptoms			
GE:vv_q2_left_support	Q2-VV9	Varicose Vein - Q2	In the last two weeks have you worn support tights or stockings?	signs and symptoms			
GE:vv_q2_left_ulcer	Q2-VV13	Varicose Vein - Q2	Do you have a skin ulcer associated with your varicose veins?	signs and symptoms			
GE:vv_q2_left_visible	Q2-VV2	Varicose Vein - Q2	Do you have any visible varicose veins on your legs at the moment?	signs and symptoms			
GE:vv_q2_leisure	Q2-VV6	Varicose Vein - Q2	During the last two weeks, have your varicose veins interfered with your leisure activities (including sport, hobbies and social life)?	signs and symptoms			
GE:vv_q2_painkiller_days	Q2-VV1	Varicose Vein - Q2	During the last two weeks, on how many days did you take painkilling tablets for your varicose veins?	signs and symptoms			
GE:vv_q2_right_back_count	Q2-VV7	Varicose Vein - Q2	Right leg (back) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q2_right_discolour	Q2-VV11	Varicose Vein - Q2	Do you have purple discolouration caused by tiny blood vessles in the skin, in association with your varicose veins?	signs and symptoms			
GE:vv_q2_right_front_count	Q2-VV7	Varicose Vein - Q2	Right leg (front) response to Question 7 of the varicose vein specific questions which requests the patient to illustrate the number of visible varicose veins in each leg	signs and symptoms			
GE:vv_q2_right_itch	Q2-VV10	Varicose Vein - Q2	In the last two weeks, have you had any itching in association with your varicose veins?	signs and symptoms			
GE:vv_q2_right_pain_days	Q2-VV9	Varicose Vein - Q2	In the last two weeks, for how many days did your varicose veins cause you pain or ache?	signs and symptoms			
GE:vv_q2_right_rash	Q2-VV12	Varicose Vein - Q2	Do you have any rash or eczema in the area of your ankle?	signs and symptoms			
GE:vv_q2_right_support	Q2-VV	Varicose Vein - Q2	In the last two weeks have you worn support tights or stockings?	signs and symptoms			
GE:vv_q2_right_ulcer	Q2-VV13	Varicose Vein - Q2	Do you have a skin ulcer associated with your varicose veins?	signs and symptoms			
GE:vv_q2_right_visible	Q2-VV2	Varicose Vein - Q2	Do you have any visible varicose veins on your legs at the moment?	signs and symptoms			
GE:vv_q2_swelling	Q1-VV2	Varicose Vein - Q2	During the last two weeks, how much ankle swelling have you had?	signs and symptoms			
GE:vv_q2_work	Q1-VV5	Varicose Vein - Q2	During the last two weeks, have your varicose veins interfered with your work/housework or other daily activities?	signs and symptoms			
GE:vv_q2_max_score	vv_q2_max_score	Varicose Vein - Q2		survey administration			
GE:icd9_multiple_cause_code_9	icd9_multiple_cause_code_9		ICD9 coded causes of death	survey administration			
GE:icd9_underlying_cause	icd9_underlying_cause		ICD9 coded causes of death	survey administration			
GE:height_at_start_of_regimen	height_at_start_of_regimen		Height in meters	height			
GE:hes_dids_version	hes_dids_version		Refers to the data release process from NHSD	survey administration			
GE:regimen_number	regimen_number		Chronological order of SACT drug regimen since commencement of patient's disease management	medication		Chronological order of SACT drug regimen since commencement of patient's disease management	
GE:gender_of_deceased	gender_of_deceased		Gender of deceased	gender			
GE:latest_date_of_birth	latest_date_of_birth		Latest participant date of birth	age/birthdate			
GE:administration_date	administration_date		The¬†DATE¬†on which the¬†Chemotherapy¬†was administered to a¬†PATIENT, an infusion commenced, or an oral drug was initially dispensed to the¬†PATIENT.	administration			
GE:administration_route	administration_route		The prescribed method of delivery for each administration in a¬†Systemic Anti-Cancer Drug Cycle.	administration			
GE:date_of_birth	date_of_birth		Date of birth	age/birthdate			
GE:mhd_age	mhd_age		Age	age/birthdate			
GE:supplied_date_of_birth	supplied_date_of_birth		Supplied participant date of birth	age/birthdate			
GE:intent_of_treatment	intent_of_treatment		The overall aim of the Anti Cancer Drug Programme	aims and objectives			
GE:mhd_sex_code	mhd_sex_code		Sex of Patients Code	biological sex			
GE:latest_gender	latest_gender		Latest participant gender	endocrine/nutritional/metabolic disorders			
GE:ic_rec_endrp_sct_flag	ic_rec_endrp_sct_flag		Indicates whether the record has an open SCT episode at the end of the Reporting Period.	ethnicity/race			
GE:mhd_ethnicity	mhd_ethnicity		Ethnic Category	ethnicity/race			
GE:mhd_gender	mhd_gender		Person Gender Code Current	gender			
GE:supplied_gender	supplied_gender		Supplied participant gender	gender			
GE:date_of_death	date_of_death		Date of the participant's death	date and time-related information			
GE:start_date_of_regimen	start_date_of_regimen		This should be recorded if the¬†First Definitive Treatment¬†is¬†Chemotherapy¬†and/or other anti-cancer drug treatments.	date and time-related information|medication			
GE:date_decision_to_treat	date_decision_to_treat		DECISION TO TREAT DATE (ANTI-CANCER DRUG REGIMEN)¬†is the¬†DECISION TO TREAT DATE¬†of the¬†Planned Cancer Treatment¬†with a¬†PLANNED CANCER TREATMENT TYPE¬†of National Code¬†'Chemotherapy'¬†or¬†'Hormone Therapy'¬†and where the¬†FIRST DEFINITIVE TREATMENT PLANNED¬†is classification¬†'First Definitive Treatment¬†planned'.	date and time-related information			
GE:start_date_of_cycle	start_date_of_cycle		The¬†date of the first drug administration in each¬†Systemic Anti-Cancer Drug Cycle.	date and time-related information			
							
GE:morphology_clean	morphology_clean		Morphology (ICD-O on SACT initiation) for the cell type at the start of SACT drug programme.	oncological		morphology for cell type before cancer treatment - maybe physiological?	
GE:primary_diagnosis	primary_diagnosis		Primary diagnosis (on SACT initiation)	oncological			
GE:stage_at_start	stage_at_start		Tumour Node and Metastasis stage grouping (final pretreatment)	oncological		tumor/metastasis stage before treatment	
GE:consultant_speciality_code	consultant_speciality_code		Care professional main speciality code (start SACT)	physician/practitioner info		provider specialty code for cancer treatment	
GE:mhd_ccg_of_gp_practice	mhd_ccg_of_gp_practice		GP_Practice	physician/practitioner info			
GE:mhd_code_of_gp_practice	mhd_code_of_gp_practice		Organisation Code (GP Practice Responsibility)	physician/practitioner info			
GE:regimen_mod_dose_reduction	regimen_mod_dose_reduction		SACT regimen modification indicator - reduce the dose administered	prescription			
GE:delmeth_d	delmeth_d			reproduction			
GE:actual_dose_per_administration	actual_dose_per_administration		Actual chemotherapy dose in mh or other applicable units	prescription			
GE:comorbidity_adjustment	comorbidity_adjustment		An indication of¬†whether a¬†PATIENT’s overall physical state (i.e. other diseases and conditions) was a significant factor in deciding on the type of¬†Anti-Cancer Drug Regimen, for example a¬†Systemic Anti-Cancer Drug Regimen, or influencing whether a dose was reduced, or the time between cycles increased at the commencement of the¬†Anti-Cancer Drug Regimen.	prescription		if patient's physical state was significant in deciding type of anti-cacer drugs	
GE:mhd_county	mhd_county		County	residence			
GE:drug_group	drug_group		The name of the¬†Chemotherapy¬†(Systemic Anti-Cancer Therapy) drug given to a¬†PATIENT¬†during¬†an¬†Anti-Cancer Drug Regimen.	medication			
GE:number_of_cycles_planned	number_of_cycles_planned		This may be the number of¬†Systemic Anti-Cancer Drug Cycles¬†in the standard¬†Systemic Anti-Cancer Drug Regimen¬†or be modified by the prescriber.	prescription			
GE:date_of_final_treatment	date_of_final_treatment		The date of the start of the final cycle of SACT treatment within a regimen	prescription|date and time-related information			
GE:regimen_mod_stopped_early	regimen_mod_stopped_early		SACT regimen modification indicator - reduce administration days below the number planned	medication			
GE:regimen_mod_time_delay	regimen_mod_time_delay		SACT regimen modification indicator - extending time between administration dates	administration		extending time between administration - is this prescription or admin method?	
GE:regimen_outcome_summary	regimen_outcome_summary		An indicator of whether the treatment within an Anti-Cancer Drug Programme was completed as planned, and if not, the reason why	medication		anti cancer drug program completed or not	
GE:cycle_number	cycle_number		Anti-Cancer Drug Cycles¬†are numbered sequentially within an¬†Anti-Cancer Drug Regimen.	medication			
GE:chemo_radiation	chemo_radiation		An indication of whether a¬†regimen, such as a¬†Systemic Anti-Cancer Drug Regimen,¬†is¬†given as part of a combined treatment with radiation.	medication			
GE:weight_at_start_of_cycle	weight_at_start_of_cycle		Weight in Kilos	weight			
GE:weight_at_start_of_regimen	weight_at_start_of_regimen		Weight in Kilos	weight			
GE:analysis_group	analysis_group		Regimen analysis grouping	survey administration			
GE:ic_date1_to_date2	Test Request to Test Request Received		Number of days between Diagnostic Test Request Date and Diagnostic Test Request Received Date for all records that fall into defined dimensions.	date and time-related information			
GE:ic_date1_to_date3	Test Request to Test		Number of days between Diagnostic Test Request Date and Diagnostic Test Date for all records that fall into defined dimensions	date and time-related information			
GE:ic_date1_to_date4	Test Request to Service (Test) Report Issue		Number of days between Diagnostic Test Request Date and Service Report Issue Date for all records that fall into defined dimensions	date and time-related information			
GE:ic_date2_to_date3	Test Request Received to Test		Number of days between Diagnostic Test Request Received Date and Diagnostic Test Date for all records that fall into defined dimensions	date and time-related information			
GE:ic_date2_to_date4	Test Request Received to Service (test) Report Issue		Number of days between Diagnostic Test Request Received Sate and Service Report Issue Date for all records that fall into defined dimensions	date and time-related information			
GE:ic_date3_to_date4	Test to Service (Test) Report Issue		Number of days between Diagnostic Test Date and Service Report Issue Date for all records that fall into defined dimensions	date and time-related information			
GE:did_snomedct_code	did_snomedct_code			diseases			
GE:mhd_sacratingc_score	mhd_sacratingc_score		SAC Rating C Score	survey administration			
GE:mhd_sacratingd_score	mhd_sacratingd_score		SAC Rating D Score	survey administration			
GE:mhd_sacratinge_score	mhd_sacratinge_score		SAC Rating E Score	survey administration			
GE:mhd_secondarydiagnosis	mhd_secondarydiagnosis		Secondary Diagnosis	diseases			
